R&D Spend,Administration,Marketing Spend,State,Profit
165349.2,136897.8,471784.1,New York,192261.83
162597.7,151377.59,443898.53,California,191792.06
153441.51,101145.55,407934.54,Florida,191050.39
144372.41,118671.85,383199.62,New York,182901.99
142107.34,91391.77,366168.42,Florida,166187.94
131876.9,99814.71,362861.36,New York,156991.12
134615.46,147198.87,127716.82,California,156122.51
130298.13,145530.06,323876.68,Florida,155752.6
120542.52,148718.95,311613.29,New York,152211.77
123334.88,108679.17,304981.62,California,149759.96
101913.08,110594.11,229160.95,Florida,146121.95
100671.96,91790.61,249744.55,California,144259.4
93863.75,127320.38,249839.44,Florida,141585.52
91992.39,135495.07,252664.93,California,134307.35
119943.24,156547.42,256512.92,Florida,132602.65
114523.61,122616.84,261776.23,New York,129917.04
78013.11,121597.55,264346.06,California,126992.93
94657.16,145077.58,282574.31,New York,125370.37
91749.16,114175.79,294919.57,Florida,124266.9
86419.7,153514.11,0.0,New York,122776.86
76253.86,113867.3,298664.47,California,118474.03
78389.47,153773.43,299737.29,New York,111313.02
73994.56,122782.75,303319.26,Florida,110352.25
67532.53,105751.03,304768.73,Florida,108733.99
77044.01,99281.34,140574.81,New York,108552.04
64664.71,139553.16,137962.62,California,107404.34
75328.87,144135.98,134050.07,Florida,105733.54
72107.6,127864.55,353183.81,New York,105008.31
66051.52,182645.56,118148.2,Florida,103282.38
65605.48,153032.06,107138.38,New York,101004.64
61994.48,115641.28,91131.24,Florida,99937.59
61136.38,152701.92,88218.23,New York,97483.56
63408.86,129219.61,46085.25,California,97427.84
55493.95,103057.49,214634.81,Florida,96778.92
46426.07,157693.92,210797.67,California,96712.8
46014.02,85047.44,205517.64,New York,96479.51
28663.76,127056.21,201126.82,Florida,90708.19
44069.95,51283.14,197029.42,California,89949.14
20229.59,65947.93,185265.1,New York,81229.06
38558.51,82982.09,174999.3,California,81005.76
28754.33,118546.05,172795.67,California,78239.91
27892.92,84710.77,164470.71,Florida,77798.83
23640.93,96189.63,148001.11,California,71498.49
15505.73,127382.3,35534.17,New York,69758.98
22177.74,154806.14,28334.72,California,65200.33
1000.23,124153.04,1903.93,New York,64926.08
1315.46,115816.21,297114.46,Florida,49490.75
0.0,135426.92,0.0,California,42559.73
542.05,51743.15,0.0,New York,35673.41
0.0,116983.8,45173.06,California,14681.4
87151.0,123327.9523,236937.1317,New York,123485.2464
38772.0,116183.1212,143589.7191,California,82155.48418
89939.0,123739.6968,242316.5853,Florida,125867.0108
65485.0,120128.2187,195132.5255,New York,104976.1696
47724.0,117505.1933,160862.6275,Florida,89803.10053
30744.0,114997.5096,128099.6711,New York,75297.23305
76381.0,121737.3896,216156.3873,California,114284.5283
143923.0,131712.2998,346478.8607,Florida,171985.0761
27280.0,114485.9303,121415.8737,New York,72337.96774
141092.0,131294.2049,341016.4385,California,169566.5772
128338.0,129410.636,316407.5606,Florida,158670.9451
76660.0,121778.5936,216694.7185,California,114522.8756
43088.0,116820.5277,151917.4528,Florida,85842.60573
60955.0,119459.2077,186391.8781,California,101106.2297
12052.0,112236.9898,92033.40609,Florida,59328.81874
126549.0,129146.4284,312955.6803,New York,157142.6178
22986.0,113851.7728,113130.5889,California,68669.64059
150633.0,132703.2632,359425.824,New York,177717.3712
53116.0,118301.5084,171266.5062,Florida,94409.4396
157923.0,133779.8836,373491.8989,New York,183945.1553
39157.0,116239.9797,144332.5776,California,82484.38635
111768.0,126963.503,284435.7004,New York,144515.3371
65903.0,120189.9508,195939.0576,Florida,105333.2634
85800.0,123128.4304,234330.3735,Florida,122331.0988
139796.0,131102.8057,338515.8029,New York,168459.4156
13947.0,112516.8521,95689.81377,California,60947.70089
133094.0,130113.0238,325584.2756,Florida,162733.9549
155148.0,133370.059,368137.5289,New York,181574.4968
28731.0,114700.2205,124215.5821,Florida,73577.54452
41847.0,116637.2512,149522.94,New York,84782.43014
140277.0,131173.8419,339443.8938,Florida,168870.3298
27595.0,114532.4509,122023.667,New York,72607.06952
9078.0,111797.776,86295.06497,California,56788.15621
21586.0,113645.0144,110429.2851,Florida,67473.63267
4330.0,111096.5697,77133.786,California,52731.98078
106761.0,126224.0464,274774.6802,New York,140237.9002
137618.0,130781.1487,334313.346,Florida,166598.769
63161.0,119784.9998,190648.3612,California,102990.7964
34384.0,115535.0813,135123.0611,New York,78406.85364
73431.0,121301.7202,210464.3542,California,111764.3688
17125.0,112986.1936,101821.7734,California,63662.63887
109497.0,126628.1113,280053.7997,Florida,142575.2414
78366.0,122030.5434,219986.4502,California,115980.2967
98190.0,124958.2421,258236.9123,New York,132915.7689
125158.0,128940.9992,310271.742,California,155954.2985
138570.0,130921.7444,336150.2326,New York,167412.0544
46445.0,117316.3048,158394.7935,Florida,88710.46186
134739.0,130355.9649,328758.3076,California,164139.2642
96620.0,124726.3773,255207.593,New York,131574.5314
140797.0,131250.6379,340447.2352,California,169314.5613
44017.0,116957.7267,153709.9609,New York,86636.24242
150342.0,132660.287,358864.3387,California,177468.7724
127529.0,129291.1592,314846.5929,Florida,157979.8234
9261.0,111824.8023,86648.16397,New York,56944.49153
57905.0,119008.7698,180506.8948,Florida,98500.64098
44699.0,117058.4475,155025.8817,New York,87218.86913
151853.0,132883.4384,361779.8174,California,178759.6067
61613.0,119556.3841,187661.4909,Florida,101668.3534
120275.0,128219.8555,300849.9801,New York,151782.7938
23224.0,113886.9217,113589.8106,California,68872.96194
105331.0,126012.8575,272015.4913,Florida,139016.2635
23501.0,113927.8303,114124.2829,California,69109.60065
7092.0,111504.4745,82463.07255,Florida,55091.53354
102136.0,125541.0053,265850.7301,California,136286.8026
85772.0,123124.2953,234276.3474,Florida,122307.1786
123288.0,128664.829,306663.5719,New York,154356.7737
76992.0,121827.6249,217335.3134,California,114806.5004
7715.0,111596.4819,83665.15275,New York,55623.75707
29104.0,114755.3069,124935.2867,Florida,73896.1952
144996.0,131870.7654,348549.2171,New York,172901.7308
94169.0,124364.4025,250478.3818,California,129480.6633
78261.0,122015.0366,219783.8524,New York,115890.5961
140902.0,131266.1448,340649.833,Florida,169404.2619
131845.0,129928.5658,323174.3267,Florida,161666.9449
1269.0,110644.5073,71227.57814,New York,50116.99489
43990.0,116953.7392,153657.8643,California,86613.17655
49875.0,117822.8628,165012.9879,Florida,91640.68127
105070.0,125974.3118,271511.8911,New York,138793.2935
93591.0,124279.0408,249363.1293,Florida,128986.8828
73077.0,121249.4398,209781.3102,New York,111461.9497
94548.0,124420.3749,251209.6634,Florida,129804.4397
151956.0,132898.6499,361978.5561,New York,178847.5987
60864.0,119445.7684,186216.2934,California,101028.4891
102790.0,125637.591,267112.6249,Florida,136845.5092
53315.0,118330.8977,171650.4773,California,94579.44358
116723.0,127695.2799,293996.3864,New York,148748.3508
49288.0,117736.1719,163880.3698,Florida,91139.21223
145513.0,131947.1183,349546.77,California,173343.3994
148513.0,132390.1719,355335.2782,New York,175906.2735
74741.0,121495.1869,212992.0028,California,112883.4905
104234.0,125850.8475,269898.8268,California,138079.1059
34715.0,115583.9649,135761.7265,Florida,78689.62408
107457.0,126326.8348,276117.6141,California,140832.487
156016.0,133498.2492,369812.3372,New York,182316.0217
93879.0,124321.5739,249918.826,California,129232.9188
121139.0,128347.4549,302517.0705,New York,152520.9015
99283.0,125119.6613,260345.8588,Florida,133849.5093
140934.0,131270.8707,340711.577,California,169431.5992
70585.0,120881.4099,204972.9894,New York,109333.0556
84834.0,122985.7671,232466.4738,California,121505.8533
70098.0,120809.4875,204033.3216,New York,108917.0157
140809.0,131252.4101,340470.3892,California,169324.8128
131560.0,129886.4757,322624.4184,Florida,161423.4719
143330.0,131624.7229,345334.6656,New York,171478.4813
103756.0,125780.2543,268976.5245,Florida,137670.7546
66195.0,120233.0747,196502.4724,New York,105582.7164
108206.0,126437.4506,277562.8117,California,141472.3512
141099.0,131295.2386,341029.945,Florida,169572.5573
91258.0,123934.4927,244861.5994,New York,126993.8211
82771.0,122681.0939,228485.9097,California,119743.4502
63354.0,119813.5029,191020.7552,Florida,103155.6747
43639.0,116901.9019,152980.6088,California,86313.32028
66303.0,120249.0247,196710.8587,Florida,105674.9799
120844.0,128303.888,301947.8672,California,152268.8856
61968.0,119608.8121,188346.4644,Florida,101971.6268
137388.0,130747.1813,333869.5604,New York,166402.282
41818.0,116632.9683,149466.9844,California,84757.65569
109162.0,126578.637,279407.4163,New York,142289.0538
124648.0,128865.68,309287.6956,Florida,155518.6099
150584.0,132696.0267,359331.2784,New York,177675.5109
72698.0,121193.4674,209050.0287,California,111138.1732
109398.0,126613.4906,279862.7789,New York,142490.6665
19644.0,113358.211,106682.1908,Florida,65814.59883
46632.0,117343.9218,158755.6105,Florida,88870.21435
89242.0,123636.7607,240971.7219,New York,125271.5697
133947.0,130238.9987,327230.1415,California,163462.6654
123502.0,128696.4335,307076.4854,Florida,154539.592
119535.0,128110.5689,299422.1481,New York,151150.6182
151311.0,132803.3933,360734.0269,Florida,178296.5808
67153.0,120374.5565,198350.9361,New York,106401.1276
32321.0,115230.4081,131142.4969,Florida,76644.45054
71633.0,121036.1833,206995.1083,New York,110228.3529
86080.0,123169.7821,234870.6342,California,122570.3004
6055.0,111351.3256,80462.17821,Florida,54205.63339
29050.0,114747.3319,124831.0935,California,73850.06347
79974.0,122268.0202,223089.0906,New York,117353.9972
17303.0,113012.4814,102165.2249,Florida,63814.70273
21265.0,113597.6077,109809.9147,California,67199.40514
154934.0,133338.4545,367724.6153,New York,181391.6784
155120.0,133365.9238,368083.5028,California,181550.5766
126307.0,129110.6887,312488.7406,California,156935.8793
155154.0,133370.9451,368149.1059,Florida,181579.6225
53078.0,118295.8964,171193.1851,California,94376.97653
31835.0,115158.6334,130204.7586,New York,76229.26494
47467.0,117467.2384,160366.7453,California,89583.54765
149605.0,132551.4435,357442.2952,New York,176839.1597
75555.0,121615.4022,214562.618,Florida,113578.8837
29784.0,114855.7324,126247.3485,California,74477.11333
46373.0,117305.6715,158255.8693,New York,88648.95289
52714.0,118242.1392,170490.8461,California,94066.01447
114529.0,127371.26,289763.0574,California,146874.0356
134049.0,130254.0625,327426.9507,Florida,163549.8031
105163.0,125988.0465,271691.3349,New York,138872.7426
84807.0,122981.7797,232414.3773,Florida,121482.7874
47480.0,117469.1583,160391.8288,New York,89594.65343
52985.0,118282.1617,171013.7414,California,94297.52743
129319.0,129555.5146,318300.4028,Florida,159509.0049
37618.0,116012.6932,141363.0729,New York,81169.63193
80380.0,122327.9801,223872.4687,California,117700.8395
14469.0,112593.9434,96697.01419,Florida,61393.64099
141203.0,131310.5978,341230.6133,California,169661.4036
143533.0,131654.7029,345726.3546,Florida,171651.9025
92746.0,124154.2473,247732.6995,California,128265.0066
30713.0,114992.9313,128039.8566,Florida,75270.75002
70966.0,120937.6777,205708.13,New York,109658.5406
113478.0,127216.0435,287735.1501,California,145976.1753
5107.0,111211.3206,78633.00963,New York,53395.76517
111210.0,126881.095,283359.0379,Florida,144038.6425
6166.0,111367.7186,80676.35302,New York,54300.45973
10758.0,112045.886,89536.62956,California,58223.36571
19870.0,113391.5877,107118.2584,New York,66007.66868
84817.0,122983.2565,232433.6723,Florida,121491.3304
47856.0,117524.6877,161117.3219,Florida,89915.86699
155761.0,133460.5896,369320.314,New York,182098.1774
22390.0,113763.7528,111980.6053,California,68160.48294
102474.0,125590.9227,266502.902,Florida,136575.5531
73031.0,121242.6463,209692.5531,New York,111422.6523
108606.0,126496.5244,278334.6128,Florida,141814.0678
43074.0,116818.4601,151890.4398,New York,85830.64565
85328.0,123058.7233,233419.6482,Florida,121927.8732
55700.0,118683.1253,176252.3413,New York,96616.9285
48759.0,117658.0468,162859.6628,California,90687.2921
124538.0,128849.4347,309075.4503,Florida,155424.6379
86530.0,123236.2402,235738.9105,California,122954.7315
75098.0,121547.9103,213680.8353,New York,113188.4725
134440.0,130311.8072,328181.3863,Florida,163883.8311
23354.0,113906.1207,113840.646,California,68984.01982
58848.0,119148.0363,182326.4159,New York,99306.23774
3854.0,111026.2719,76215.3427,California,52325.33808
11310.0,112127.4079,90601.71506,California,58694.93455
36517.0,115850.0925,139238.6904,Florida,80229.05713
65189.0,120084.5041,194561.3927,California,104723.2993
2603.0,110841.5185,73801.53479,New York,51256.61958
2696.0,110855.2532,73980.97854,California,51336.06868
