R&D Spend,Administration,Marketing Spend,State,Profit
65605.48,153032.06,107138.38,New York,101004.64
12068.0,112239.3528,92064.27813,California,59342.48741
133587.0,130185.8323,326535.5205,California,163155.1205
83794.0,122832.1752,230459.791,California,120617.3903
141217.0,131312.6654,341257.6263,New York,169673.3637
63024.0,119764.767,190384.0193,California,102873.7585
137388.0,130747.1813,333869.5604,New York,166402.282
146708.0,132123.6013,351852.5258,Florida,174364.2776
146341.0,132069.4011,351144.3983,New York,174050.7527
117801.0,127854.4839,296076.3904,New York,149669.2769
126549.0,129146.4284,312955.6803,New York,157142.6178
34715.0,115583.9649,135761.7265,Florida,78689.62408
35429.0,115689.4117,137139.3914,Florida,79299.58812
142144.0,131449.569,343046.2753,California,170465.2918
147647.0,132262.2771,353664.3289,Florida,175166.4572
158637.0,133885.3304,374869.5639,Florida,184555.1194
81836.0,122543.0089,226681.8247,New York,118944.6878
48147.0,117567.6639,161678.8072,New York,90164.46578
100610.0,125315.6387,262906.3089,New York,134983.154
110481.0,126773.4329,281952.4304,Florida,143415.8641
113363.0,127199.0598,287513.2573,Florida,145877.9318
117241.0,127771.7805,294995.8688,California,149190.8738
140149.0,131154.9383,339196.9174,Florida,168760.9805
0.0,116983.8,45173.06,California,14681.4
9869.0,111914.5945,87821.30163,Florida,57463.90068
153441.51,101145.55,407934.54,Florida,191050.39
32892.0,115314.736,132244.243,New York,77132.25091
69518.0,120723.8305,202914.21,Florida,108421.5267
131599.0,129892.2354,322699.6691,Florida,161456.7893
78098.0,121990.964,219469.3435,California,115751.3466
50050.0,117848.7076,165350.6509,Florida,91790.18226
97209.0,124813.3635,256344.0701,New York,132077.709
41996.0,116659.2562,149810.4359,California,84909.71956
57863.0,119002.567,180425.8557,New York,98464.76074
55493.95,103057.49,214634.81,Florida,96778.92
61136.38,152701.92,88218.23,New York,97483.56
48759.0,117658.0468,162859.6628,California,90687.2921
73490.0,121310.4336,210578.1949,New York,111814.772
53078.0,118295.8964,171193.1851,California,94376.97653
28980.0,114736.994,124696.0283,New York,73790.26307
144372.41,118671.85,383199.62,New York,182901.99
47480.0,117469.1583,160391.8288,New York,89594.65343
105004.0,125964.5646,271384.5439,Florida,138736.9103
155044.0,133354.6998,367936.8606,California,181485.6505
134787.0,130363.0537,328850.9238,New York,164180.2702
23224.0,113886.9217,113589.8106,California,68872.96194
77031.0,121833.3846,217410.564,Florida,114839.8177
155148.0,133370.059,368137.5289,New York,181574.4968
4330.0,111096.5697,77133.786,California,52731.98078
57470.0,118944.527,179667.5611,California,98129.02423
9078.0,111797.776,86295.06497,California,56788.15621
131106.0,129819.4269,321748.4242,New York,161035.6236
150860.0,132736.7876,359863.8212,New York,177911.2954
25990.0,114295.4172,118926.8152,Florida,71235.93187
12412.0,112290.1563,92728.02707,California,59636.36364
100606.0,125315.048,262898.5909,California,134979.7368
99011.0,125079.4911,259821.0341,Florida,133617.1421
64124.0,119927.22,192506.4723,New York,103813.479
24723.0,114108.3008,116482.1352,Florida,70153.5447
131876.9,99814.71,362861.36,New York,156991.12
135073.0,130405.2915,329402.7615,California,164424.5975
83997.0,122862.1552,230851.4801,Florida,120790.8114
134739.0,130355.9649,328758.3076,California,164139.2642
79898.0,122256.7962,222942.4484,New York,117289.0711
121607.0,128416.5713,303420.0778,California,152920.7099
43391.0,116865.2761,152502.0922,California,86101.45602
35278.0,115667.1113,136848.0365,New York,79170.59013
3372.0,110955.0879,75285.32239,California,51913.56964
88568.0,123537.2213,239671.237,Florida,124695.7773
53012.0,118286.1492,171065.8379,Florida,94320.5933
109403.0,126614.229,279872.4264,New York,142494.938
29104.0,114755.3069,124935.2867,Florida,73896.1952
74278.0,121426.809,212098.643,New York,112487.9536
107504.0,126333.776,276208.3008,California,140872.6387
146657.0,132116.0694,351754.1212,New York,174320.7087
123334.88,108679.17,304981.62,California,149759.96
75555.0,121615.4022,214562.618,Florida,113578.8837
13316.0,112423.6631,94472.29754,New York,60408.64304
27595.0,114532.4509,122023.667,New York,72607.06952
10488.0,112006.0112,89015.66382,California,57992.70704
96008.0,124635.9944,254026.7374,Florida,131051.7051
44496.0,117028.4676,154634.1927,Florida,87045.44798
11310.0,112127.4079,90601.71506,California,58694.93455
115538.0,127520.2737,291709.9257,Florida,147736.0156
143533.0,131654.7029,345726.3546,Florida,171651.9025
24874.0,114130.6012,116773.4901,Florida,70282.5427
92665.0,124142.2849,247576.4097,California,128195.809
27745.0,114554.6036,122313.0924,Florida,72735.21323
108606.0,126496.5244,278334.6128,Florida,141814.0678
64613.0,119999.4378,193449.9991,New York,104231.2275
83554.0,122796.7309,229996.7104,Florida,120412.3603
51795.0,118106.4171,168717.6331,New York,93280.9207
45698.0,117205.9844,156953.455,New York,88072.30621
49370.0,117748.2821,164038.589,New York,91209.26412
62251.0,119650.6068,188892.5137,Florida,102213.3913
18790.0,113232.0884,105034.3955,New York,65085.034
128989.0,129506.7787,317663.6669,New York,159227.0888
66705.0,120308.3938,197486.5188,New York,106018.405
130298.13,145530.06,323876.68,Florida,155752.6
66195.0,120233.0747,196502.4724,New York,105582.7164
123926.0,128759.0518,307894.5946,New York,154901.8116
126763.0,129178.0329,313368.5938,New York,157325.4362
129894.0,129640.4332,319409.8669,New York,160000.2225
113132.0,127164.9447,287067.5421,California,145680.5905
133439.0,130163.975,326249.9541,California,163028.6854
54016.0,118434.4245,173003.0587,Florida,95178.30183
130675.0,129755.7748,320916.8085,Florida,160667.424
146290.0,132061.8692,351045.9937,Florida,174007.1838
9494.0,111859.2128,87097.73811,California,57143.54142
66882.0,120334.534,197828.0408,New York,106169.6146
6975.0,111487.1954,82237.32073,New York,54991.58145
158104.0,133806.6145,373841.1389,California,184099.7821
35910.0,115760.448,138067.4822,New York,79710.50227
83476.0,122785.2115,229846.2091,California,120345.7256
44805.0,117074.1021,155230.409,California,87309.42402
42722.0,116766.4752,151211.2548,California,85529.93509
43074.0,116818.4601,151890.4398,New York,85830.64565
125384.0,128974.3759,310707.8096,Florida,156147.3684
120814.0,128299.4574,301889.9821,California,152243.2568
92746.0,124154.2473,247732.6995,California,128265.0066
41847.0,116637.2512,149522.94,New York,84782.43014
70585.0,120881.4099,204972.9894,New York,109333.0556
67877.0,120481.4801,199747.896,Florida,107019.6345
67289.0,120394.6416,198613.3484,Florida,106517.3112
145072.0,131881.9894,348695.8593,Florida,172966.6569
63372.0,119816.1612,191055.4862,Florida,103171.0519
144390.0,131781.2685,347379.9385,California,172384.0302
68150.0,120521.798,200274.6503,New York,107252.8561
111501.0,126924.0712,283920.5232,New York,144287.2413
102790.0,125637.591,267112.6249,Florida,136845.5092
57750.0,118985.8787,180207.8219,California,98368.22581
40219.0,116396.8207,146381.7095,California,83391.64379
139729.0,131092.9108,338386.5263,Florida,168402.1781
22876.0,113835.5275,112918.3436,California,68575.66854
165349.2,136897.8,471784.1,New York,192261.83
129325.0,129556.4007,318311.9798,Florida,159514.1307
5210.0,111226.5321,78831.74841,Florida,53483.75718
9153.0,111808.8523,86439.77767,California,56852.22806
56671.0,118826.527,178125.8884,New York,97446.44542
122843.0,128599.1094,305804.9431,Florida,153976.614
159026.0,133942.7797,375620.1405,Florida,184887.4387
89669.0,123699.822,241795.6195,Florida,125636.3521
19644.0,113358.211,106682.1908,Florida,65814.59883
43990.0,116953.7392,153657.8643,California,86613.17655
22014.0,113708.2234,111255.1123,Florida,67839.26938
125425.0,128980.4309,310786.9192,Florida,156182.3943
109089.0,126567.856,279266.5626,California,142226.6905
131636.0,129897.6997,322771.0607,California,161488.398
17125.0,112986.1936,101821.7734,California,63662.63887
127494.0,129285.9903,314779.0603,California,157949.9232
71633.0,121036.1833,206995.1083,New York,110228.3529
8318.0,111685.5357,84828.64289,California,56138.89476
137404.0,130749.5442,333900.4324,New York,166415.9507
157923.0,133779.8836,373491.8989,New York,183945.1553
155075.0,133359.278,367996.6752,California,181512.1335
151956.0,132898.6499,361978.5561,New York,178847.5987
63457.0,119828.7144,191219.494,Florida,103243.6667
23281.0,113895.3397,113699.7923,New York,68921.65655
101587.0,125459.9265,264791.4331,Florida,135817.7966
93879.0,124321.5739,249918.826,California,129232.9188
159191.0,133967.1476,375938.5084,Florida,185028.3968
48519.0,117622.6025,162396.5822,California,90482.26217
116723.0,127695.2799,293996.3864,New York,148748.3508
56428.0,118790.6397,177657.0193,New York,97238.85262
61968.0,119608.8121,188346.4644,Florida,101971.6268
66051.52,182645.56,118148.2,Florida,103282.38
83593.0,122802.4906,230071.961,New York,120445.6777
31835.0,115158.6334,130204.7586,New York,76229.26494
18192.0,113143.773,103880.5529,California,64574.16776
58725.0,119129.8711,182089.087,California,99201.1599
150584.0,132696.0267,359331.2784,New York,177675.5109
24815.0,114121.8878,116659.6494,California,70232.13951
104234.0,125850.8475,269898.8268,California,138079.1059
46632.0,117343.9218,158755.6105,Florida,88870.21435
134615.46,147198.87,127716.82,California,156122.51
65352.0,120108.5766,194875.9016,California,104862.5488
21362.0,113611.9331,109997.0765,New York,67282.27141
85800.0,123128.4304,234330.3735,Florida,122331.0988
41374.0,116567.3964,148610.2852,Florida,84378.35032
95277.0,124528.037,252616.2709,California,130427.2181
3854.0,111026.2719,76215.3427,California,52325.33808
121139.0,128347.4549,302517.0705,New York,152520.9015
123073.0,128633.0769,306248.7288,New York,154173.101
75098.0,121547.9103,213680.8353,New York,113188.4725
19870.0,113391.5877,107118.2584,New York,66007.66868
52176.0,118162.6849,169452.7737,New York,93606.40571
125610.0,129007.7526,311143.8772,Florida,156340.4382
60864.0,119445.7684,186216.2934,California,101028.4891
136133.0,130561.8371,331448.0344,California,165330.1463
108131.0,126426.3742,277418.099,Florida,141408.2794
79974.0,122268.0202,223089.0906,New York,117353.9972
27892.92,84710.77,164470.71,Florida,77798.83
112125.0,127016.2263,285124.5329,Florida,144820.3191
120275.0,128219.8555,300849.9801,New York,151782.7938
78630.0,122069.5322,220495.8389,California,116205.8296
76381.0,121737.3896,216156.3873,California,114284.5283
3737.0,111008.9928,75989.59088,New York,52225.38599
132750.0,130062.2203,324920.5267,New York,162440.0786
13123.0,112395.16,94099.90352,California,60243.7648
